"geoid","county","state","total_pop","white_pop","black_pop","native_pop","hispanic_pop","poverty_pop","median_income","pct_white","pct_nonwhite","pct_black","pct_native","pct_hispanic","pct_poverty"
"01001","Autauga County","Alabama",58761,43747,11496,59,1864,6630,68315,74,26,20,0,3,11
"01003","Baldwin County","Alabama",233420,195998,19445,848,11210,23445,71039,84,16,8,0,5,10
"01005","Barbour County","Alabama",24877,11309,11668,74,1202,5280,39712,45,55,47,0,5,21
"01007","Bibb County","Alabama",22251,16872,4603,21,650,4297,50669,76,24,21,0,3,19
"01009","Blount County","Alabama",59077,53941,729,227,5721,8277,57440,91,9,1,0,10,14
"01011","Bullock County","Alabama",10328,2397,7117,0,907,2687,36136,23,77,69,0,9,26
"01013","Butler County","Alabama",18981,9777,8462,69,322,3937,44429,52,48,45,0,2,21
"01015","Calhoun County","Alabama",116162,83306,25631,258,4736,20267,54339,72,28,22,0,4,17
"01017","Chambers County","Alabama",34612,19642,14114,21,1129,6080,48805,57,43,41,0,3,18
"01019","Cherokee County","Alabama",25069,22884,1008,120,479,3516,46621,91,9,4,0,2,14
"01021","Chilton County","Alabama",45140,36693,4257,647,3664,6422,62471,81,19,9,1,8,14
"01023","Choctaw County","Alabama",12669,7180,5062,28,143,2388,43299,57,43,40,0,1,19
"01025","Clarke County","Alabama",23058,11862,10490,15,335,5073,47549,51,49,45,0,1,22
"01027","Clay County","Alabama",14209,11581,1790,5,437,2440,48074,82,18,13,0,3,17
"01029","Cleburne County","Alabama",15144,14028,411,35,401,1931,51553,93,7,3,0,3,13
"01031","Coffee County","Alabama",53559,38834,8997,368,4500,8592,62199,73,27,17,1,8,16
"01033","Colbert County","Alabama",57270,44698,9185,178,1837,8998,56149,78,22,16,0,3,16
"01035","Conecuh County","Alabama",11576,5751,5611,33,80,2122,39888,50,50,48,0,1,18
"01037","Coosa County","Alabama",10329,6859,3120,9,284,1102,52279,66,34,30,0,3,11
"01039","Covington County","Alabama",37542,31404,4606,117,749,6921,48772,84,16,12,0,2,18
"01041","Crenshaw County","Alabama",13205,9386,3059,10,335,1916,48557,71,29,23,0,3,15
"01043","Cullman County","Alabama",88284,81077,960,355,4056,11364,58119,92,8,1,0,5,13
"01045","Dale County","Alabama",49455,34817,10416,476,3467,8469,52813,70,30,21,1,7,17
"01047","Dallas County","Alabama",38326,10634,26467,208,430,10230,37180,28,72,69,1,1,27
"01049","DeKalb County","Alabama",71680,59102,1043,1098,11021,14251,47920,82,18,1,2,15,20
