Terminal ID,Coal Terminal Name,Coal Terminal AKAs,Parent Port,GEM Wiki,GEM Wiki (Non-ENG),Status,Project Type,Owner,Capacity (Mt),Product Type,Terminal Type,Opening Year,Retire Year,Location,State/Province,Country,ISO Code,Subregion,Region,Latitude,Longitude,Accuracy,Coal source
T1346,Arch Coal Terminal,,-,https://www.gem.wiki/Arch_Coal_Terminal,,Operating,,Arch Coal,5.44,Coal,Domestic,-,-,Cattlesburg,Kentucky,United States,840,Northern America,Americas,38.30643821,-82.57855975,Exact,
T1422,Ashtabula Coal Pier,,-,https://www.gem.wiki/Ashtabula_Coal_Pier,,Retired,,Norfolk Southern,5.72,Coal,Exports,1999,2016,Ashtabula,Ohio,United States,840,Northern America,Americas,41.877222,-80.796944,Exact,"Ohio, Pennsylvania and West Virginia, sent to Canada and Great Lakes Basin"
T1424,Bulk Materials Handling Plant Coal Terminal,,Port of Mobile,https://www.gem.wiki/Bulk_Materials_Handling_Plant,,Retired,,Alabama State Port Authority,2.45,Coal,Domestic,-,2018,,Alabama,United States,840,Northern America,Americas,30.72392873,-88.04662669,Exact,
T1403,Burnside Coal Terminal,,-,https://www.gem.wiki/Burnside_Terminal,,Proposed,Expansion,Trafigura Group,6.8,Coal,Exports,-,-,Ascension Parish,Louisiana,United States,840,Northern America,Americas,30.13493281,-90.92033905,Exact,
T1335,Burnside Terminal,,-,https://www.gem.wiki/Burnside_Terminal,,Operating,,Trafigura Group,6.8,Coal,Exports,2014,-,Ascension Parish,Louisiana,United States,840,Northern America,Americas,30.13493281,-90.92033905,Exact,
T1368,Cahokia Terminal,,-,https://www.gem.wiki/Cahokia_Terminal,,Operating,,Watco Companies,*,Coal,Domestic,-,-,Sauget,Illinois,United States,840,Northern America,Americas,38.603121,-90.185952,Exact,
T1330,Calvert City Terminal,,-,https://www.gem.wiki/Calvert_City_Terminal,,Operating,,Southern Coal Handling,13.61,Coal,"Domestic, Exports",2003,-,Calvert City,Kentucky,United States,840,Northern America,Americas,37.04981214,-88.38335318,Exact,"Illinois Basin, American West (including Powder River Basin)"
T1359,Ceredo Coal Terminal,,-,https://www.gem.wiki/Ceredo_Coal_Terminal,,Operating,,SunCoke Energy,18,Coal,"Exports, Imports",-,-,Ceredo,West Virginia,United States,840,Northern America,Americas,38.39845886,-82.55270403,Exact,
T1328,CNX Marine Terminal,Baltimore Marine Terminal,Port of Baltimore,https://www.gem.wiki/CNX_Marine_Terminal,,Operating,,CONSOL Energy,14.5,Coal,Exports,1983,-,,Maryland,United States,840,Northern America,Americas,39.262065,-76.560566,Exact,"West Virginia, Ohio and Northeast Pennsylvania, USA"
T1350,Conneaut Port Dock 3 Coal Terminal,,Conneaut Port,https://www.gem.wiki/Conneaut_Port,,Operating,,Canadian National Railroad,8.17,Coal,Exports,-,-,Conneaut,Ohio,United States,840,Northern America,Americas,41.96587812,-80.54812496,Approximate,
T1358,Convent Marine Terminal,,-,https://www.gem.wiki/Convent_Marine_Terminal,,Operating,,SunCoke Energy,13.61,All Cargo,Exports,-,-,Convent,Louisiana,United States,840,Northern America,Americas,30.04879316,-90.83321245,Exact,Illinois
T1338,Cooper Marine and Timberlands Chipco Terminal,,Port of Mobile,https://www.gem.wiki/Cooper_Marine_and_Timberlands_Chipco_Terminal,,Operating,,Cooper Consolidated,0.91,Coal,Exports,-,-,,Alabama,United States,840,Northern America,Americas,30.70390629,-88.03503572,Exact,
T1355,Cora Coal Terminal,,-,https://www.gem.wiki/Cora_Coal_Terminal,,Operating,,"Watco Companies, SCH Services",10,Coal,Domestic,-,-,Rockwood,Illinois,United States,840,Northern America,Americas,37.809377,-89.669595,Exact,Illinois
T1033,Coyote Island Terminal,,Port of Morrow,https://www.gem.wiki/Coyote_Island_Terminal,,Cancelled,,Port of Morrow,8,Coal,Exports,-,-,,Oregon,United States,840,Northern America,Americas,45.8526328,-119.6719717,Exact,Powder River Basin
T1357,CSX Chesapeake Bay Coal Terminal,Curtis Bay Coal Piers,Port of Baltimore,https://www.gem.wiki/CSX_Chesapeake_Coal_Terminal,,Operating,,CSX Corporation,12.7,Coal,Exports,-,-,,Maryland,United States,840,Northern America,Americas,39.22465305,-76.58328827,Exact,"from Appalachia, to China, S Korea, Netherlands"
T1351,Deepwater Terminal,,Port of Houston,https://www.gem.wiki/Deepwater_Terminal,,Operating,,Kinder Morgan,9.1,Coal,Exports,-,-,,Texas,United States,840,Northern America,Americas,29.73451921,-95.14407607,Exact,
T1329,Dominion Terminal,,Port of Hampton Roads,https://www.gem.wiki/Dominion_Terminal,,Operating,,"Contura Energy (65%), Arch Coal (35%)",20,Coal,Exports,1984,-,Newport News,Virginia,United States,840,Northern America,Americas,36.96579976,-76.42341224,Exact,
T1339,Donora River Terminal,,-,https://www.gem.wiki/Donora_River_Terminal,,Operating,,Robindale Energy,1.36,Coal,Domestic,-,-,Donora,Pennsylvania,United States,840,Northern America,Americas,40.19554501,-79.87231463,Exact,"Western PA, USA"
T1340,Fairless Hills Terminal,,-,https://www.gem.wiki/Fairless_Hills_Terminal,,Operating,,Kinder Morgan,1.63,All Cargo,Exports,-,-,Fairless Hills,Pennsylvania,United States,840,Northern America,Americas,40.140139,-74.75471,Exact,
T1337,Four Rivers Marine Terminal,,-,https://www.gem.wiki/Four_Rivers_Terminal,,Operating,,Southern Coal Handling,9,Coal,Exports,2015,-,Paducah,Kentucky,United States,840,Northern America,Americas,37.13752323,-88.73286442,Exact,"Powder River Basin, Illinois Basin"
T1044,Gateway Pacific Coal Terminal,,-,https://www.gem.wiki/Gateway_Pacific_Terminal,,Cancelled,,SSA Marine,48,Coal,Exports,-,-,Cherry Point,Washington,United States,840,Northern America,Americas,48.86127,-122.751746,Exact,
